Timestamp,UI-GENT,Controls-GENT,State-GENT,NavKey-GENT,NavMouse-GENT,ReuseVal-GENT,Focus-GENT,Recover-GENT,Actions-GENT,Execution-GENT,UI-MPS,Controls-MPS,State-MPS,NavKey-MPS,NavMouse-MPS,ReuseVal-MPS,Focus-MPS,Recover-MPS,Actions-MPS,Execution-MPS
2021/06/08 4:45:04 PM AST,4,4,4,-1,5,4,5,4,5,5,3,1,5,-1,3,3,5,4,5,3
2021/06/10 2:28:46 PM AST,5,5,5,5,5,5,5,4,4,5,4,4,4,5,5,4,4,4,4,4
2021/06/10 4:03:30 PM AST,5,5,5,4,5,5,5,5,5,5,3,5,4,3,5,4,4,5,4,4
2021/06/10 6:06:21 PM AST,5,5,4,5,5,5,5,5,5,5,4,5,4,4,5,5,2,5,2,5
2021/06/14 2:37:17 PM AST,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,4,4
2021/06/14 4:14:06 PM AST,5,5,5,-1,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5
2021/06/15 9:56:44 AM AST,5,4,5,4,4,5,5,5,5,4,4,5,5,4,3,4,4,5,4,4
2021/06/15 2:30:54 PM AST,5,5,5,-1,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5
2021/06/16 8:23:29 PM AST,5,5,5,5,5,5,4,5,5,5,4,5,4,4,3,4,3,4,2,3
2021/06/17 1:11:18 PM AST,4,5,5,-1,5,5,5,4,5,5,4,4,4,3,4,3,5,5,3,4
2021/06/17 2:50:52 PM AST,5,5,5,3,5,5,3,5,5,5,5,5,5,4,4,5,4,5,5,5
2021/06/17 6:28:55 PM AST,5,4,5,4,5,4,5,5,4,4,3,4,3,5,5,4,5,4,3,3
2021/06/18 3:59:30 PM AST,5,5,5,-1,5,5,5,5,5,5,4,4,5,5,5,4,2,5,4,5
2021/06/21 5:35:54 AM AST,4,4,4,-1,4,4,3,4,4,3,4,4,4,5,4,4,5,4,3,3
2021/06/21 5:27:43 PM AST,4,4,4,-1,5,4,3,5,4,5,4,4,4,4,3,5,3,5,2,3
2021/06/21 8:01:14 PM AST,5,5,4,-1,5,3,5,4,4,4,3,4,2,4,4,3,4,3,3,4
2021/06/22 5:47:10 PM AST,4,5,5,-1,5,4,5,5,5,5,5,4,5,4,5,5,5,4,4,4
2021/06/22 8:50:15 PM AST,5,5,5,-1,5,5,5,5,5,5,2,2,5,3,4,3,4,3,1,4
2021/06/23 12:54:20 PM AST,4,5,5,3,5,5,5,5,5,5,5,5,4,5,3,5,4,5,5,5
2021/06/25 1:21:53 PM AST,5,5,5,-1,5,5,5,4,5,5,3,4,4,3,3,3,4,3,3,4
2021/06/26 1:45:34 PM AST,5,5,4,-1,4,5,3,5,4,5,4,4,5,4,2,5,5,4,4,5
2021/06/26 4:00:04 PM AST,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,3,3
